id_produto,nome_produto,categoria,preco,estoque,data_criacao,ativo
101,Smartphone XYZ,Eletrônicos,899.99,50,2023-01-01,true
102,Notebook ABC,,1299.99,25,2023-01-05,true
103,Mouse Gamer,Informática,-29.99,100,2023-01-10,true
104,Teclado Mecânico,Informática,199.99,0,2023-01-15,false
105,Smartphone XYZ,Eletrônicos,899.99,50,2023-01-01,true
106,,Casa e Jardim,45.90,200,2023-01-20,true
107,Headset Gamer,Informática,299.99,-10,2023-01-25,true
108,Monitor 24 pol,Eletrônicos,599.99,15,2023-02-01,true
109,Cadeira Gamer,Móveis,799.99,8,2023-02-05,true
110,Webcam HD,Informática,0,30,2023-02-10,true
111,Microfone USB,Eletrônicos,149.99,25,2023-02-15,true
112,Tablet Android,Eletrônicos,399.99,12,2023-02-20,true
113,Carregador Wireless,Acessórios,89.99,100,2023-02-25,true
114,Cabo HDMI,Acessórios,25.99,500,2023-03-01,true
115,SSD 1TB,Informática,299.99,20,2023-03-05,true
116,Memória RAM 16GB,Informática,399.99,15,2023-03-10,true
117,Placa de Vídeo,Informática,1599.99,5,2023-03-15,true
118,Processador Intel,Informática,899.99,10,2023-03-20,true
119,Fonte 650W,Informática,199.99,25,2023-03-25,true
120,Gabinete Gamer,Informática,299.99,18,2023-04-01,true
